project_type,location_tier,size_sqft,num_floors,material_grade,duration_weeks,labor_cost,material_cost,total_cost
Residential,Tier2,3363,2,Budget,40,2655888.14,3166053.78,7680985.88
Industrial,Tier2,22282,4,Standard,72,21736432.45,28837125.49,70218114.78
Commercial,Tier2,26621,4,Premium,43,59531758.96,66424285.87,152718118.23
Commercial,Tier3,64792,16,Standard,38,110755198.05,113732149.24,281431365.08
Residential,Tier2,511,2,Premium,39,1383645.44,1496309.06,3476667.69
Residential,Tier1,4899,2,Standard,50,6789566.18,7035858.87,17550661.65
Residential,Tier3,3864,1,Standard,49,2867812.66,3218824.42,9035437.94
Industrial,Tier3,94964,8,Premium,35,100854635.17,128591199.14,331083814.61
Commercial,Tier3,35254,16,Budget,93,42511415.11,46844317.87,118760347.46
Commercial,Tier3,62418,11,Standard,31,95024842.54,88443403.54,242868477.36
Residential,Tier2,542,3,Budget,24,697700.57,791056.28,2195855.89
Industrial,Tier2,58392,8,Premium,93,80298297.68,107760672.19,267034092.82
Industrial,Tier3,27461,8,Premium,45,37217184.38,35062170.65,97798510.19
Residential,Tier3,3045,1,Budget,32,1693150.17,2092747.75,5502965.88
Residential,Tier1,2911,1,Standard,23,3446594.96,4285491.02,10096343.77
Residential,Tier1,1504,3,Premium,28,2866695.47,3478814.74,7792289.37
Residential,Tier2,520,2,Budget,9,413955.5,539425.37,1278904.5
Commercial,Tier3,40525,5,Standard,81,42885927.07,62474951.52,139061114.37
Residential,Tier3,1514,2,Premium,5,1501861.05,1672489.33,3983693.88
Residential,Tier1,4931,1,Budget,25,4527170.23,4731219.01,12470941.82
Commercial,Tier2,66330,16,Standard,71,149115396.12,155978124.97,373864239.38
Residential,Tier2,3688,1,Budget,19,2270669.08,2853118.6,6789652.93
Residential,Tier3,1214,2,Premium,21,1237664.09,1565078.16,4042325.74
Residential,Tier3,4646,3,Premium,8,4305721.75,4055939.29,11530043.27
Residential,Tier3,4354,1,Premium,39,4141294.55,4942647.93,11759250.52
Commercial,Tier2,27436,2,Standard,26,35303394.79,38692834.77,109869760.98
Residential,Tier2,640,3,Premium,48,1663285.44,1816985.03,4398214.26
Commercial,Tier1,7096,14,Premium,101,24092073.33,27550203.97,75199475.86
Commercial,Tier1,30279,5,Standard,57,58919323.95,73464418.16,180697447.89
Residential,Tier3,4135,3,Premium,37,3786779.47,4902763.35,12244929.69
Commercial,Tier3,24715,18,Budget,77,29677530.29,30673476.92,87301431.11
Residential,Tier3,4110,3,Standard,46,3218340.51,3636231.32,9413299.59
Residential,Tier3,2192,3,Budget,32,1576608.86,1839722.01,4485932.96
Industrial,Tier2,86677,7,Budget,56,79202001.36,92861056.95,213542098.7
Industrial,Tier3,103555,1,Budget,72,65924738.89,74068768.5,168773772.34
Industrial,Tier3,148379,1,Standard,88,100253033.8,127287090.97,319507742.33
Residential,Tier3,4516,2,Standard,39,2911799.26,4031078.67,9533292.1
Residential,Tier1,3136,2,Standard,12,3086476.82,3902361.0,10225094.84
Commercial,Tier2,47821,15,Budget,85,63049078.36,77059633.66,200561934.06
Residential,Tier1,3916,3,Standard,22,4943490.75,4992837.19,13514376.76
Residential,Tier3,4945,3,Standard,41,4115350.43,4484625.81,11040578.77
Residential,Tier2,4030,1,Standard,9,3560620.28,3587004.88,9403446.22
Residential,Tier1,1786,2,Standard,50,2502937.66,2765802.7,7716284.88
Industrial,Tier2,195251,6,Standard,63,205114710.7,259659293.85,620451412.67
Residential,Tier2,4154,2,Premium,23,4827204.64,5831438.59,13858794.24
Commercial,Tier2,72155,19,Standard,35,131547027.01,165765646.69,429445524.0
Residential,Tier1,944,2,Budget,35,1545066.95,1530340.78,4278610.91
Commercial,Tier2,67424,4,Budget,58,85595705.15,84361590.04,214862947.52
